Product,Consumer complaint narrative
"Credit reporting, repair, or other","This company has been calling my phone non-stop over the last several weeks, presumably about a debt to collect. They refuse to tell me specifically what the calls are about other than a personal business matter. I have made it VERY clear to them that we have no business if they cant provide further details. I want the harassment to stop. Calls always come while I am at work, wasting my time, and my customers time."
"Credit reporting, repair, or other","THE BUREAUS XXXX XXXX XXXX XXXX XXXX XXXX, IL XXXX Phone : ( XXXX ) XXXX The above company on my record with the amount of {$580.00} does not belong to me. I do not own this account nor the previous creditor."
Debt collection,"I recieved a call from XXXX XXXX XXXX XXXX telling me that I needed to pay off a debt within XXXX hours or face legal action, garnishment of wages, etc. I normally suspect these things are robocallers but this was from an actual person. They left the number XXXX XXXX XXXX to call back, and when I called the woman on the line revealed my social security number and several past addresses to convince me it was a real collections. Worrying that maybe this an old debt due to identity theft that happened to me around XXXX, I asked them why I had never received any prior communications regarding this. They said they apologized and that they were sending the communications to my old college dorm room which was an address I hadn't lived at since XXXX. 

When they finally sent me a "" collections letter '' the letter had my current address but was addressed to a XXXX XXXX which was very suspicious, and had a dotted line section where I could cut it off and write down my payment information or include cash and mail it in rather than any other dispute options. They seemed very caught off guard when I brought up that the letter was addressed to a different person but contained my name, the agent said that this was because the other agent that sent the letter was new to the company, and that she must have made a mistake, which made me uncomfortable. I hung up and they called back after a while saying that they fixed the letter by regenerating the correct one, and I looked to see that every other piece of information, the account number, charge, etc was the same, but they had simply switched my name for XXXX XXXX. 

I looked up the address of mailing ( XXXX XXXX XXXX XXXX XXXX XXXX XXXX ) in XXXX XXXX state business database ( since the address on the website was in XXXX ) and it is currently registered to an active but completely different business called XXXX XXXX XXXX XXXX Then I looked up the name of the business that they gave, and the name of the business on the website, XXXX XXXX XXXX XXXX, it was to a business that has been dissolved since XXXX and had a completely different address. In addition to this, I found that an entire section on their website had been copy and pasted from a legitimate debt collection agency in California called XXXX, and that they had made several different promises that their debt collection rates are above XXXX XXXX and their team has over XXXX  years of combined experience which was highly suspicious as well. They had a variety of human "" agents '' calling me back after the first time I told them I didn't believe them due to their name mixups and issues sending the email with the information. The entire experience was fishy but they had clearly invested tremendous resources into making this seem just legitimate enough."
Debt collection,"The collection account I previously disputed continues to appear on my credit report without any supporting evidence of its validity. This is a direct violation of my rights under the Fair Credit Reporting Act ( 15 U.S.C. 1681i ), which requires accurate and verifiable reporting. The continued furnishing of unverifiable information also violates 15 U.S.C. 1681s-2 ( b ), which obligates furnishers to conduct proper reinvestigations. Additionally, failure to provide written verification of the debt violates the FDCPA ( 15 U.S.C. 1692g ( b ) )."
"Credit reporting, repair, or other",Hi I am submitting this XXXX XXXX this isn't any influence and this is not a third party. XXXX has low and unfair credit number for me in their report. I have complained. The problem has not been resolved. my fico has me at a credit score over 719XXXX has me at a score around 590. That is a huge difference. XXXX paints me as a XXXX. my fico say I have good credit. What the heck is going on here. i have almost no debt and my identity was stolen causing my score to drop n i made this clear for 60 days straight with XXXX i spoke to a representative agent name XXXX XXXX XXXX XXXX XXXX from the fraud department I prefer to speak to a us rept but they refused they had me on mute for 4 hours which was hurtful I have a perfect repayment record. I have very low credit utilization. I have three negative credit items outstanding debt now. I have modest but ok income. Social Security. Something is wrong with XXXX. I do not understand why they are abusing consumers .This was a fist step towards attempting resolution. They kept lying telling me they disputed n its not reporting but it keep reporting this inaccurate information without my authorization. They refused or were unable to verify n remove the inquiries and its been 60days n they record the calls n admitted they had my police report n ftc and affidavit That was after attempting to contact XXXX more than 21 times. XXXX is an abusive company. They are supposed to be protecting consumers. They need to be reigned in. they are causing me severe XXXX and stopping me from getting this job offer n now im XXXX n cant provide to my XXXX year old daughter PLEASE HELP ME PLEASE im XXXX  now.with no help.
"Credit reporting, repair, or other",I have tried to send my disputes to the major credit bureaus but are having difficulties in submitting my disputes and getting the inaccurate information corrected on my credit report.
Mortgage,Rushmore Loan Management bought out our loan was told I was 3 months behind my husband 's daughter paid the loans to catch it up. I paid off the loan early I thought logged into the web site it says I owe almost 16.00. I then received a notice that I owed a deferred payment of almost XXXX called and was told that I have three payments behind was told that I could make payments until it was paid because it is due in XX/XX/XXXX so I sent XXXX  last month they kept the money it shows it is in escrow account sent XXXX More then sent XXXX  to make sure the deferred payment was paid off. Noticed today the second payment of XXXX was returned plus the XXXX was returned. I called them was told we do not take partial payments but yet they still have the first XXXX I sent and I'm still getting letters that if I don't pay it off beforeXX/XX/XXXX they will foreclose on our home
"Credit reporting, repair, or other",XXXX XXXX credit card is falsely reporting my credit card account over the limit. When I emailed them they said 6 to 8 weeks to process the change with the bureaus after they report. I thought credit reports are supposed to be updated every 30 days. My credit report has not been updated since XXXX. I also attached a {$500.00} payment from my checking account to XXXX on XX/XX/23. So if my balance is {$1500.00} and I paid {$500.00} in XXXX no way can I be over the limit on a card I shredded and dont swipe anymore. This is a violation of my consumer rights under the fair credit reporting act. See attachments TransUnion even sent me a verification letter as of XX/XX/23 showing they validated false information. Also attached
Mortgage,"We closed a refinance on a commercial property XXXX 2015. In XXXX, we paid the first monthly payment to XXXX XXXX, as instructed on closing documents and the mortgage statement we subsequently received in the mail. The check cleared our bank account on XXXX XXXX, 2015, which is when the payment was due. XXXX XXXX sold the loan to Midland Loan Services on or about XXXX XXXX. As of today, XXXX XXXX, 2015, XXXX XXXX has not notified Midland that this payment was received, and Midland wants to charge fraudulent late fees in the amount of {$3000.00} for a payment that was made on time."
Mortgage,"Heres a polished draft letter you can send to Bank of America. You can adjust details ( like your name, address, and account info ) before mailing it by certified mail, return receipt requested : [ Your Name ] XXXX XXXX [ Your Address ] XXXX XXXX XXXX XXXX [ City, State, ZIP Code ] XXXX, Florida XXXX XXXX Phone Number ] XXXX [ Email Address ] XXXX Date : [ Insert Date ] XXXX XXXX Bank of America Fraud Department [ Bank of America Address use the fraud dispute address listed on your statement or on their website ] Subject : Fraudulent {$60000.00} Home Equity Line of Credit Dear Sir or Madam, I am writing to formally dispute a fraudulent home equity line of credit in the amount of {$60000.00} that was taken out against my property without my knowledge, consent, or authorization.

At the time this account was opened, I was medically disabled and unable to apply for, authorize, or benefit from such a transaction. I have never signed any documents, received any funds, or participated in this loan in any way. This account was opened fraudulently and I am a victim of identity theft.

I respectfully request that Bank of America : 1. Provide copies of all application documents, signatures, and approval records connected with this account.

2. Remove my liability for this fraudulent line of credit.

3. Correct any negative credit reporting associated with this matter.

4. Confirm in writing that an investigation has been opened and provide instructions for next steps.

Enclosed are copies of my supporting documents, including proof of my disability status, a police report/identity theft report ( if available ), and identification. Please consider this my formal dispute and request for investigation under the Fair Credit Reporting Act and all applicable consumer protection laws.

This situation has caused me significant distress, and I am urgently requesting your cooperation in resolving this matter and protecting my property.

Thank you for your prompt attention. I look forward to your written response within the timeframe required by law.

Sincerely, [ Your Signature ] [ Your Printed Name ] Enclosures : Copies of ID, disability proof, police/FTC report , other supporting documents"
Mortgage,"I worked with a local company and got an XXXX  loan in XX/XX/2021. At closing I prepaid ( as is normal ) my insurance, taxes - escrow for the coming year. 

The local company sold, without my prior knowledge, my loan to Pennymac. 

I received from Pennymac a notice dated XX/XX/2021 stating the purpose to be to inform me that my "" mortgage loan '' number XXXX, "" was sold to PENNYMAC LOAN SERVICES , LLC ( Creditor ) on XX/XX/2021 It goes on to say this : "" no action is required on your part '' again, after it puts these words highlighted in the caption! 

However, when I learned months after this was sold that my insurance company was gon na cancel my homeowners that I prepaid the mortgage company because they did not receive the payment. I called Pennymac, and Pennymac had the audacity to tell me that it was MY FAULT -- that I was supposed to send them the insurance company info. My first Lender says that Pennymac HAD THAT INFO, and I have read several complaints with XXXX  and review stating that Pennymac failed to pay THEIR PREPAID INSURANCE ALSO. 

I believe Pennymac must be operating a scam. 

Pennymac paid the insurance late, and the insurance company sent me a notice stating they were going to cancel -- a notice which was sent to me AFTER the deadline date in that letter! So I called Pennymac again and we had a conference call with the insurance company, and even though Pennymac paid them MONTHS LATE - THE insurance company rep said they would reinstate it. 

I DID NOT LEARN until later that Pennymac had bought it's own EXPENSIVE INSURANCE AND STARTED CHARGING ME EXORBITANT AMOUNT FOR IT. 

Because they refused to take responsibility for this and blamed me, and they would not tell me how to appeal or how to contact their superior in the company, at the time I had to settle for a payment plan where they added only part of the amount per month to make up for the EXCESSS I NOW KNOW THEY CAUSED. 

i AM NOW TRYING TO FIND OUT WHO WILL HELP WITH THIS BECAUSE I DO NOT OWE FOR PENNYMAC 'S NEGLIGENCE. aFTER READING THAT THEY HAVE DONE THIS TO OTHERS, I AM CERTAIN THIS IS A SCAM. 


My original payment was XXXX and is now XXXX - AND THAT DOESN'T EVEN INCLUDE THE FULL AMOUNT. THIS WAS ADDED TO MY MORTGAGE FOR SEVERAL MONTHS. AS SOON AS i REALIZED THEY WERE DOING THIS, i GOT MY OWN INSURANCE POLICY, BUT THEY DID THIS WITHOUT TELLING ME AND NOW EXPECT ME TO COVER THE COST. 

IF THEY ARE DOING THIS AND GETTING KICKBACKS FROM EXPENSIVE INSURANCE COMPANIES I WOULD NOT BE SURPRISED. 

I WANT THE ENTIRE AMOUNT OF PENNYMAC 'S ADDED INSURANCE REFUNDED TO ME."
"Credit reporting, repair, or other",Equifax is reporting the following items inaccurately. Can someone please look into this. Thank You ACCOUNTS XXXX XXXX not mine XXXX XXXX DE XXXX not mine XXXX  XXXX XXXX  XXXX not mine XXXX XXXX XXXX not mine XXXX XXXX  XXXX not mine XXXX  XXXX XXXX not mine PUBLIC FILINGS XXXX DIST CT XXXX not mine
Debt collection,"I am contacting you regarding the alleged debt that has been reported on my account/credit file. This debt has been illegally placed on my account, and under [ State Statute ___ ] as well as the Fair Debt Collection Practices Act ( 15 U.S.C. 1692 et seq. ), I am formally disputing its validity.

You are hereby notified that : 1. This alleged debt must be immediately removed from my account and all credit reporting agencies, as it was reported in violation of applicable law.

2. You must provide full validation of this debt, including documentation that proves your legal right to collect and that I am legally responsible for this account.

3. Until such proof is provided, any further collection activity, reporting, or communication regarding this matter will be considered a violation of the FDCPA and state law. 

If you do not comply, I will not hesitate to file complaints with the [ State Attorney Generals Office ], the Consumer Financial Protection Bureau ( CFPB ), and any other applicable regulatory agencies. I will also consider pursuing legal remedies for damages caused by this unlawful reporting. 

This is my formal demand for immediate correction. Please provide written confirmation that this account has been removed from my record within 30 days of receiving this notice. 

Sincerely, XXXX XXXX"
"Credit reporting, repair, or other","Experian 's failure to produce any legal evidence or verification for the alleged debts, and is now currently reporting an incorrect demonstration of an inaccurate, unsubstantiated alleged list of creditors as the "" result ''. 

Experian & its actors willful behavior of discharging its duties to correct itself and the record after prior attempts were properly made."
Debt collection,Account Name : US COLLECTIONS WEST IN Account Number : XXXX Date Opened : XX/XX/2018 Balance : {$0.00} Reason : Identity theft Please remove it from my credit report
Debt collection,I was recently denied a credit card and when I reviewed my credit report I saw this fraudulent account on my credit files. I have never conducted business with the company reporting this debt LJ ROSS Associates XXXX XXXX {$1900.00}. This account is not mine and I have notified the credit bureaus that this account is fraudulent.
Debt collection,"We moved out of XXXX XXXX in XXXX FL in XX/XX/2015, ( XXXX XXXX XXXX ) As we were moving out they presented me with a bill. 

Said we didn't maintain AC, dirty carpets, water bill. 

I paid the water bill portion because that I believed we owed. 

I disputed the AC and dirty carpets. 

I then found they filed with a collection agency, but I was never notified of this action."
Debt collection,"RE : Attentively review my formal writ composed declaration of not proven complaint misinformation that is all or in part : deficient of the adequate current status in the fullness of TRUTH, ACCURACY, COMPLETENESS, TIMELINESS, documented OWNERSHIP, certifiable RESPONSIBILITY, or otherwise irrefutable, complaint obligatory, and regulatory requisite reporting thereby mandating your immediate actions to rectify and remedy and any infractions behavior ( s ) by retaining or returning to demonstrate TRUE, CORRECT, COMPLETE, and COMPLAINT XXXX XXXX data field formatted reporting!!! I am a victim of identity- theft, I am writing to request that you block all accounts disputed as fraudulent on my credit reports with XXXX XXXX XXXX XXXX and XXXX. This information does not relate to any transactions I have made. I did not give anyone authorization or consent to use my personal information. I hereby exercise my legal rights enacted by Congress and The Federal Trade Commission, which explicitly states when a victim of identity-theft dispute a fraudulent account on his/her credit report it shall be honored by all credit bureaus and all fraudulent information should be blocked within 4 days and proper notification shall be given to all data furnishers pursuant to section 605b of The Federal Fair Credit Reporting Act. Failure to comply shall lead to complaints being filed with The XXXX XXXX XXXX  Consumer Financial Protection Bureau, and Attorney General stating your companys unlawful collection practices, misrepresentation of creditworthiness, defamation of character, and noncompliance to abide by laws enacted by Congress to protect victims of identity-theft who's credit been impacted by acts of fraud. Because I know my rights under THE FAIR CREDIT REPORTING ACT, CONSUMER CREDIT PROTECTION ACT ( CCPA ), and FAIR and ACCURATE CREDIT TRANSACTION ACT of 2003 ( FACTA ). I will be taking action. I also know my rights under this paragraph of Section 312 of the FACTA LAW : SEC.312. Procedures to enhance the accuracy and integrity of information furnished to consumer reporting agencies. ( b ) duty of furnishers to provide accurate information. -- Section 623 ( a ) ( 1 ) of THE FAIR CREDIT REPORTING ACT ( 15 U.S.C . 1681s-2 ( a ) ( 1 ) is amended ( 1 ) in subparagraph ( A ), by striking "" knows or consciously avoids knowing the information is inaccurate '' and inserting "" knows or has reasonable cause to believe that the information is inaccurate '', and ( 2 ) by adding at the end of the following : ( D ) DEFINITION -- For purposes of subparagraph ( A ), the term 'reasonable cause to believe that the information is inaccurate ' means having specific knowledge, other than solely allegations by the consumer, that would cause a reasonable person to have substantial doubts about the accuracy of information. Policy states. According to the Fair Credit Reporting Act FCRA 611 ( 15 U.S.C 1681 ), Procedure In Case of Disputed Accuracy. ( a ) Reinvestigation ( 1 ) Reinvestigation ( a ) In general. Subject to Subsection ( f ), if the completeness or accuracy of any item of information contained in a consumers file at a consumer agency is disputed by the consumer and the consumer notifies the agency directly, or indirectly through a reseller, of such dispute, free of charge, conduct a reasonable reinvestigation to determine whether the disputed information is inaccurate and record the current status of the disputed information, or delete the item from the file in accordance with paragraph ( 5 ), before the end of the 30-day period beginning on the date on which the agency receives the notice of the dispute from the consumer or reseller. Therefore, my position is being clearly stated, these accounts do not belong to me, meaning that you are reporting inaccurate account information within my credit file. The fact that these are inaccurate account information means that you, this credit-reporting agency, are reporting incorrect accounts. 1. CONVERGENT OUTSOURCING bal. {$1300.00} I am well aware of my rights as a consumer. The Fair Credit Reporting Act requires that you, the credit-reporting agency report accurate and/or correct account information within my credit file. My credit issues are very specific, these accounts and/or items do not belong to me. This means that you are reporting incorrect account information within my credit report. It is this in mind that I request that these listed accounts and items be Blocked and Deleted. According to the Fair Credit Reporting Act FCRA, Section 1681c ( 2 ) Block of information resulting from identity theft. 1.Block. Except as otherwise provided in this section, a consumer reporting shall block the reporting of any information in the file of a consumer that the consumer identifies as information that resulted from alleged identity theft, not later than four ( 4 ) business days after the date receipt by such agency of 1. Appropriate proof of identity of the consumer ; 2. A copy of an identity theft report 3. The identification of such information by the consumer ; and 4. A statement by the consumer that the information relating to the transaction by the consumer. I have provided all of the above listed four ( 4 ) items within this package. Therefore, I expect these listed accounts to be deleted and blocked within ( 4 ) business days. This is clearly an identity theft issue. I am also entitled to receive a free copy of my credit report, so I am requesting a free credit report and that all of these accounts, public records items, and inquiries be permanently blocked and deleted. Enclosures : Identity Theft Report Proof of Identity Copy of Account Statement showing Fraudulent Items FTC Notice to Furnishers CC : Consumer Financial Protection Bureau po box 4503 Iowa City, Iowa 52244"
Debt collection,TRANSWORLD SYSTEM INC/ is falsely reporting on my credit. I have never had any accounts with them. Per my research TRANSWORLD SYSTEM INC/ is a debt collector. They are falsely reporting on my credit!! Account number is XXXX is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.
"Credit reporting, repair, or other","Accounts on my consumer report have been linked to identity theft, and I never provided written authorization, including a wet signature, for their inclusion. I recently communicated with your organization about this matter, and I am formally requesting the prompt blocking and removal of these accounts from my report. Their presence has caused significant emotional and financial distress, as they inaccurately represent my credit history and responsibilities. If this issue is not appropriately addressed, I am prepared to take legal action to protect my rights and seek resolution. These fraudulent items on my credit record have hindered my ability to achieve important financial goals, such as purchasing a home and meeting the needs of my family."
Mortgage,"I currently have an ongoing mortgage account with XXXX mortgage corporation. I called in about XXXX weeks ago so try and work out a payment plan due to I am now the ONLY source of income in the household. I understood the process and possibilities offered, but as of today XX/XX/2025 I called once again to try and get a payment due date change so I can avoid late fees since I am already having difficulties giving payments on time. which yes it is possible, but I'd have to pay fees for 15 days of an amount of almost {$2.00} XXXX something on top of that partial payment. Which unfortunately I only have to cover the monthly and not that extra amount. Every time I call and try and work something out they are extremely rude. I explained I do have other payment I also have to take care of, and not just this one. I have to work around my payments which is why I need a due date change so that I can avoid late fees of some sort. I do get paid bi-weekly with an amount of {$2000.00} monthly. Keeping in mind MY income is the ONLY source I have explained plenty of times. I have called in with the greatest intention of trying to work something out, BUT XXXX XXXX does NOT know how to treat or speak to their customers. I want to submit this complaint not only against the company itself ( because everyone there that I have spoke to are RUDE, RUDE, RUDE ) but also against XXXX XXXX ( supervisor ) that stated she didn't care if there was other payments on my list that I needed to give this payment as a priority. Every single time I do call in or even answer their calls it doesn't fail they are rude, mean and unfortunately I have cried of how extremely rude they are. I know I have to pay the mortgage, but as a SINGLE mother and ONLY income they have no compassion after I stated my reasons. I hate to be late on any of my payments which is why I had requested a due date change."
Debt collection,"XXXX to Present XXXX  for {$14000.00} CREDIT ACCEPTANCE no Debt owed from me,,, reporting to XXXX XXXX, XXXX, XXXX, XXXX XXXX, and all other LLC agencies that may be affecting my credit XXXX"
Debt collection,I ended cable services with XXXX and returned there equipment. When the collection agency called me I was informed that the charges were for non returned equipment. I returned the equipment to the XXXX store in XXXX Ca. I was told that they would investigate and return the call with an update. The next thing I received was a ding on my credit report.
"Credit reporting, repair, or other",GOLDMANSACHS acces my XXXX consumer report without my auhtorization. I never gave this company authorization to access both XXXX XXXX  consumer report. I also send a notice of dispute for unauthorized credit inquiry through mail.
"Credit reporting, repair, or other",I recently gained a copy of my credit report and noticed inaccurate and unfair accounts that are hurting my general reputation as a consumer. I demand these bureaus to delete said accounts and I am seeing monetary remedy and deletion for the anguish and pain it has caused me in my life. These accounts are hindering me from moving forward in my field of work and also from obtaining mortgage loans amongst many other things. Please help resolve this matter because it is illegal to report these accounts without my written signature.
Mortgage,"Nationstar evaluated our escrow account, using only 6 months of taxes, due to a XXXX refinance XX/XX/XXXX ( Refinanced through Nationstar ). Now they doubled my escrow requirements from {$3300.00} a year to {$5600.00}. They are now projecting that our taxes will increase by more than XXXX % in XXXX, because of their incorrect information. I 've submitted tax records from XX/XX/XXXX-XX/XX/XXXX. 
Our taxes have never increased more than XXXX % since XX/XX/XXXX. 
They are telling me their projections are correct and will not adjust anything."
Debt collection,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, TX, XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX, XXXX, NY XXXX DEBT VALIDATION LETTER Last XXXX of XXXX : XXXX RE : * * XXXX * * Dear : spirerecoverysolutions I am responding to your contact about a debt you are trying to collect. You contacted me by [ phone/ text Friday XX/XX/XXXX and identified this alleged debt. 
Please supply the information below so that I have all information : * The name and address of the creditor to whom the debt is currently owed, the account number used by that creditor, and the amount owed. 
* If this debt started with a different creditor, provide the name and address of the original creditor, the account number used by that creditor, and the amount owed to that creditor at the time it was transferred. When you identify the original credi-tor, please provide any other name by which I might know them, if that is different from the official name. In addition, tell me when the current creditor obtained the and who the current creditor obtained it from. 
* Provide verification and documentation that there is a valid basis for claiming + that I must pay the debt to the current creditor. For example, can you provide a copy of the written agreement that created my original requirement to pay? 
If you are asking that I pay a debt that somebody else is or was required to pay, ide that person. Provide verification and documentation about why this is a debt that r must pay. 

The amount and age of the debt, including : * A copy of the last billing statement sent to me by the original creditor. 
* State the amount of the debt when you obtained it, and when that was."
Debt collection,"THESE STUDENT LOANS WERE opened under fraudulent pretense. I XXXX. VICTIM OF XXXX XXXX XXXX XXXX XXXX : XXXX Dispute not available XXXX Help mark icon Whats this? 
View Account Details Reported balance {$2300.00} Actual payment amount {$0.00} Date of last payment XX/XX/XXXX Past due amount {$220.00} Account status At least XXXX days or more than XXXX payments past due Date reported XX/XX/XXXX XXXX XXXX XXXXXXXX : XXXX Dispute not available XXXX  Help mark icon Whats this? 
View Account Details Reported balance {$1200.00} Actual payment amount {$0.00} Date of last payment XX/XX/XXXX Past due amount {$110.00} Account status At least XXXX days or more than XXXX payments past due Date reported XX/XX/XXXXXXXX XXXX XXXX XXXXXXXX : XXXX Dispute not available XXXX  Help mark icon Whats this? 
View Account Details Reported balance {$2800.00} Actual payment amount {$0.00} Date of last payment XX/XX/XXXX Past due amount {$260.00} Account status At least XXXX days or more than XXXX payments past due Date reported XX/XX/XXXX"
"Credit reporting, repair, or other",XXXX XXXX collection account from XXXX XXXX  is reporting on my Equifax credit report and should not be reporting because its a fraud account the verification doesn't match my birthdate. I have contacted the credit bureau and company but still haven't resolved.
Debt collection,I have repetitively told them to not call me at work.
"Credit reporting, repair, or other","In accordance with the Fair act XXXX XXXX XXXX XXXX Account number XXXX, has violated my rights. 


15 U.S.C 1681 Section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A. Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions."
Debt collection,"On Monday XX/XX/year> I noticed my credit had dropped because of a deliquent account. I quickly figured out that the collection agency by the name of Radius Global Solutions at which point I called them directly and was instructed to email to request proof of debt, which I did on that same day, XX/XX/year>. Per the agents advice, they would provide this information within 30 days. They did not provide requested documentation that this debt was mine within the 30 days at which point I followed up via email on XX/XX/year> requesting that the debt be removed from my credit report. As of today, XX/XX/year>, this derogatory mark is still on my credit report. I pride myself on having good credit and on time payments, thus this is very frustrating as it dropped my score almost XXXX points."
"Credit reporting, repair, or other",I keep getting these updates from collection agencies that I do not owe at all this is under the law 15 usc 1681 XXXX XXXX XX/XX/XXXX {$1200.00} XXXX XXXX XXXX XX/XX/XXXX {$1000.00} Lvnv funding llc XX/XX/XXXX {$920.00} XXXX XXXX XXXX {$860.00} XX/XX/XXXX Lvnv funding llc {$470.00} XX/XX/XXXX Lvnv funding llc {$450.00} XX/XX/XXXX All these are reporting opened accounts but they are closed and its tarnishing my character and Im trying to purchase a home and cant do so because they are reporting false information about me
"Credit reporting, repair, or other","In accordance with the fair credit reporting act. The list of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 usc 1681. 

XXXX XXXX account number : XXXX, XXXX account number : XXXX, XXXX account number : XXXX, XXXX account XXXX, XXXX  XXXX account number : XXXX, XXXX  XXXX account number : XXXX, XXXX XXXX In accordance with the fair debt collection practices act. Debt collectors are not allowed to communicate with me under the 15 usc 1692c.

15 U.S.C 1681 section 602 A. States i have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions.

15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate."
"Credit reporting, repair, or other",I submitted a complaint last XX/XX/2023 and it was closed immediately with a reason ( The CFPB closed this complaint because it has already processed your earlier complaints about this problem. ) and it was marked as no further action. I can't see a response from the companies on my complaints before it was closed which means that they were not forwarded to the companies involved. I am submitting a new complaint hoping that you will now assist me regarding these fraudulent items to REMOVE them from my credit report immediately. These accounts are NOT MINE.
"Credit reporting, repair, or other",Hi I am submitting this XXXX XXXX without any influence and this is not a third party. TransUnion has low and unfair credit number for me in their report. I have complained. The problem has not been resolved. my fico has me at a credit score over 719 transunion has me at a score around 590. That is a huge difference. transunion paints me as a XXXX. my fico say I have good credit. What the heck is going on here. i have almost no debt and my identity was stolen causing my score to drop n i made this clear for 60 days straight with transunion i spoke to a representative agent name XXXX and XXXX and XXXX from the fraud department I prefer to speak to a XXXX rept but they refused they had me on mute for 4 hours which was hurtful I have a perfect repayment record. I have very low credit utilization. I have three negative credit items outstanding debt now. I have modest but ok income. Social Security. Something is wrong with Transunion. I do not understand why they are abusing consumers .This was a fist step towards attempting resolution. They kept lying telling me they disputed n its not reporting but it keep reporting this inaccurate information without my authorization. They refused or were unable to verify n remove the inquiries and its been 60days n they record the calls n admitted they had my police report n ftc and affidavit That was after attempting to contact Transunion more than 21 times. transunion is an abusive company. They are supposed to be protecting consumers. They need to be reigned in. they are causing me severe XXXX and stopping me from getting this job offer n now im homeless n cant provide to my XXXXXXXX XXXX old daughter
"Credit reporting, repair, or other","Hello my name is XXXX XXXX and I sent a dispute letter to TransUnion on XX/XX/2021 pointing out the exact inaccuracies on my credit report only for them to not truly investigate the matter. Are they even truly conducting investigations or are they just automatically verifying things without conducting an investigation as required by law? No wonder President Biden wants to do away with the credit bureaus, they are useless."
Debt collection,"As of today, I saw XXXX collection accounts that are reporting on my credit without proving the original contract with my wet signature, opurhcase agreement and chain of assignment. THese documents are provided because t Sunreice Cedit and XXXX XXXX do not own the debt plus I do not know who are the agencies. This is a violation of my right privacy and the Social Security Administration False Claims Act.

Therefore I am demanding for these two agencies to seace and desist from all communication that includes reporting on my credit report. I have not given them authorization to have my personal information also violated the Falsse Calims Act with the Social Security Administration"
Debt collection,"I contacted Ally Auto on or around XX/XX/year>, to resolve a charged-off debt originally owed to Ally Auto for approximately {$20000.00}. The Ally Auto representative, XXXX, was unable to assist me because the debt was transferred and sold to XXXX ( Ally XXXX XXXX. When XXXX came on the line, I spoke to the representative who offered me a settlement of around {$16000.00}, then {$12000.00}, then {$9000.00}, then finally {$4100.00}. I offered a lump-sum settlement and requested a written agreement confirming the terms of the settlement, including the payment amount, the account status after payment, and how it would be reported to the credit bureaus. 

The representative verbally agreed to settle the debt but stated they could not provide anything in writing until payment was made. I explained that I was a XXXX veteran with no current income other than VA XXXX, and that I was attempting to resolve this account in good faith to avoid bankruptcy and rebuild my credit. I made it clear I needed documentation to protect myself before making any payment.

Despite multiple requests, the company refused to send a written settlement letter or even a basic payment confirmation email before receiving payment. I believe this is misleading and unfair, as it pressures consumers to pay without any documentation of the agreement.

I am requesting your help to require this company to provide written confirmation of settlement terms before any payment is made. I am prepared to settle the account if I can receive those terms in writing."
"Credit reporting, repair, or other","XXXX, XXXX SOC SEC # XXXX XXXX XX/XX/XXXX ADDRESS XXXX XXXX XXXX, XXXX XXXX XXXX FL XXXX ATTENTION DISPUTE DEPARTMENT TODAYS DATE : XX/XX/XXXX This serves to notify you on the inaccurate information on my credit report as per your file. I have sent this letter via registered mail for purposes of formal escalation in the appropriate courts of law should the need arise. 
Recently, I've been denied in my application for ( mortgage, car loan, credit card, health insurance, employment ) in Florida DDUpon closer look, this was due to inaccurate information on credit report ; mine. My Florida id and social security card was stolen. I have been disputing this charge and have proved that it was a fraudulent account I have also included a copy of the police report. I've been unnecessarily embarrassed by this oversight on your part or maybe your credit reporter 's part. The erroneous information below is not only degrading or defamatory. It has also damaged my good credit standing, prevented me from having something that I badly needed, and most of all it has caused too much stress which has affected my health. In short, the quality of my life has been negatively affected by this inaccurate information on the credit report which is detailed as follows ; XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX SOC SEC # XXXX DOB XX/XX/XXXX ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX"
